model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,100,0.985,4.1562,0.67,0.016000000000019554
GaussianNB,lac_split,200,0.9668,2.7726,0.7,0.0
GaussianNB,lac_split,300,0.9888,3.547,0.7352,0.016000000000019554
GaussianNB,lac_split,400,0.9792,2.6104,0.764,0.0
GaussianNB,lac_split,500,0.9702,2.3742,0.772,0.0
GaussianNB,lac_split,600,0.909,1.4926,0.7852,0.0
GaussianNB,lac_split,700,0.9518,1.9912,0.7724,0.0
GaussianNB,lac_split,800,0.942,1.8822,0.7756,0.016000000000019554
GaussianNB,lac_split,900,0.954,1.9436,0.7892,0.014999999999986358
GaussianNB,lac_split,1000,0.951,1.883,0.7842,0.0
GaussianNB,lac_split,1100,0.9564,1.9622,0.7834,0.0
GaussianNB,lac_split,1200,0.9254,1.6138,0.7834,0.0
GaussianNB,lac_split,1300,0.9582,1.9458,0.7836,0.0
GaussianNB,lac_split,1400,0.9622,2.0048,0.7842,0.0
GaussianNB,lac_split,1500,0.9574,1.8978,0.7866,0.015999999999991132
GaussianNB,lac_split,1600,0.9498,1.7454,0.7916,0.016000000000019554
GaussianNB,lac_split,1700,0.9316,1.6226,0.7834,0.014999999999986358
GaussianNB,lac_split,1800,0.9476,1.7864,0.7882,0.016000000000019554
GaussianNB,lac_split,1900,0.975,2.2492,0.7882,0.0
GaussianNB,lac_split,2000,0.9588,1.9638,0.7886,0.0
GaussianNB,lac_split,2100,0.9518,1.843,0.7864,0.014999999999986358
GaussianNB,lac_split,2200,0.9538,1.8532,0.7884,0.0
GaussianNB,lac_split,2300,0.948,1.8104,0.789,0.0
GaussianNB,lac_split,2400,0.934,1.6036,0.792,0.0
GaussianNB,lac_split,2500,0.9486,1.7416,0.7944,0.0
GaussianNB,lac_split,2600,0.9434,1.7164,0.789,0.0
GaussianNB,lac_split,2700,0.9564,1.8742,0.7892,0.014999999999986358
GaussianNB,lac_split,2800,0.9412,1.717,0.7902,0.016000000000019554
GaussianNB,lac_split,2900,0.9526,1.8618,0.79,0.015999999999991132
GaussianNB,lac_split,3000,0.938,1.6548,0.788,0.0
GaussianNB,lac_split,3100,0.9592,1.915,0.791,0.0
GaussianNB,lac_split,3200,0.9468,1.7752,0.7856,0.016000000000019554
GaussianNB,lac_split,3300,0.954,1.8608,0.7908,0.0
GaussianNB,lac_split,3400,0.9592,1.9294,0.7896,0.0
GaussianNB,lac_split,3500,0.9424,1.69,0.7888,0.0
GaussianNB,lac_split,3600,0.953,1.819,0.7958,0.016000000000019554
GaussianNB,lac_split,3700,0.938,1.6482,0.7868,0.0
GaussianNB,lac_split,3800,0.9464,1.7592,0.7886,0.0
GaussianNB,lac_split,3900,0.948,1.7492,0.798,0.0
GaussianNB,lac_split,4000,0.9476,1.7892,0.7898,0.015999999999991132
GaussianNB,lac_split,4100,0.946,1.7176,0.7872,0.0
GaussianNB,lac_split,4200,0.949,1.7704,0.7894,0.0
GaussianNB,lac_split,4300,0.9426,1.6836,0.7918,0.016000000000019554
GaussianNB,lac_split,4400,0.958,1.8758,0.7918,0.015999999999991132
GaussianNB,lac_split,4500,0.9504,1.7772,0.7912,0.0
GaussianNB,lac_split,4600,0.9542,1.8512,0.7864,0.0
GaussianNB,lac_split,4700,0.9526,1.8038,0.7894,0.014999999999986358
GaussianNB,lac_split,4800,0.9536,1.8138,0.7886,0.016000000000019554
GaussianNB,lac_split,4900,0.9564,1.8752,0.7876,0.0
GaussianNB,lac_cv+_mean,100,0.9656,3.1366,0.6616,0.014999999999986358
GaussianNB,lac_cv+_mean,200,0.9666,2.5082,0.7602,0.0
GaussianNB,lac_cv+_mean,300,0.9778,2.6056,0.7536,0.016000000000019554
GaussianNB,lac_cv+_mean,400,0.9444,1.9528,0.7654,0.0
GaussianNB,lac_cv+_mean,500,0.9588,2.0594,0.767,0.016000000000019554
GaussianNB,lac_cv+_mean,600,0.9604,2.015,0.781,0.014999999999986358
GaussianNB,lac_cv+_mean,700,0.9552,1.967,0.777,0.0
GaussianNB,lac_cv+_mean,800,0.9612,2.0232,0.7778,0.014999999999986358
GaussianNB,lac_cv+_mean,900,0.9588,2.014,0.7762,0.015999999999991132
GaussianNB,lac_cv+_mean,1000,0.9522,1.9692,0.7784,0.014999999999986358
GaussianNB,lac_cv+_mean,1100,0.9534,1.8794,0.7842,0.015999999999991132
GaussianNB,lac_cv+_mean,1200,0.9552,1.9116,0.7866,0.016000000000019554
GaussianNB,lac_cv+_mean,1300,0.9528,1.9088,0.783,0.014999999999986358
GaussianNB,lac_cv+_mean,1400,0.9584,1.8924,0.79,0.014999999999986358
GaussianNB,lac_cv+_mean,1500,0.9536,1.8702,0.786,0.014999999999986358
GaussianNB,lac_cv+_mean,1600,0.9564,1.8824,0.7916,0.015999999999991132
GaussianNB,lac_cv+_mean,1700,0.955,1.8234,0.7902,0.014999999999986358
GaussianNB,lac_cv+_mean,1800,0.9452,1.7302,0.7898,0.015999999999991132
GaussianNB,lac_cv+_mean,1900,0.9554,1.92,0.784,0.016000000000019554
GaussianNB,lac_cv+_mean,2000,0.9534,1.8276,0.7928,0.016000000000019554
GaussianNB,lac_cv+_mean,2100,0.9544,1.8634,0.7912,0.016000000000019554
GaussianNB,lac_cv+_mean,2200,0.9518,1.785,0.787,0.016000000000019554
GaussianNB,lac_cv+_mean,2300,0.9544,1.816,0.7872,0.014999999999986358
GaussianNB,lac_cv+_mean,2400,0.9534,1.8406,0.7906,0.016000000000019554
GaussianNB,lac_cv+_mean,2500,0.949,1.776,0.7876,0.016000000000019554
GaussianNB,lac_cv+_mean,2600,0.9482,1.7796,0.79,0.016000000000019554
GaussianNB,lac_cv+_mean,2700,0.956,1.8492,0.7924,0.015999999999991132
GaussianNB,lac_cv+_mean,2800,0.9548,1.8282,0.7906,0.015999999999991132
GaussianNB,lac_cv+_mean,2900,0.948,1.7756,0.792,0.014999999999986358
GaussianNB,lac_cv+_mean,3000,0.9492,1.7478,0.7972,0.015999999999991132
GaussianNB,lac_cv+_mean,3100,0.9498,1.7862,0.7936,0.014999999999986358
GaussianNB,lac_cv+_mean,3200,0.9492,1.7542,0.79,0.016000000000019554
