model,strategy,training_size,coverage,set_size,acc,duration
RF,lac_split,16,0.944,4.1848,0.3456,0.125
RF,lac_split,17,0.9696,4.764,0.265,0.14000000001396984
RF,lac_split,18,0.9208,4.2478,0.309,0.125
RF,lac_split,19,0.97,4.6352,0.4052,0.1559999999590218
RF,lac_split,20,0.961,4.7582,0.3252,0.125
RF,lac_split,21,0.9978,4.9646,0.3848,0.125
RF,lac_split,22,0.9256,3.966,0.3456,0.125
RF,lac_split,23,0.7852,2.8834,0.3652,0.14099999994505197
RF,lac_split,24,0.9748,4.711,0.3676,0.125
RF,lac_split,25,0.9346,4.2044,0.4418,0.125
RF,lac_split,26,0.9124,3.5454,0.4678,0.125
RF,lac_split,27,0.9716,4.4958,0.3492,0.10899999993853271
RF,lac_split,28,0.964,4.6426,0.4024,0.10899999993853271
RF,lac_split,29,0.8822,3.679,0.4308,0.125
RF,lac_split,30,0.9764,4.4822,0.403,0.125
RF,lac_split,31,0.9128,3.6684,0.5144,0.10900000005494803
RF,lac_split,32,0.927,3.653,0.4456,0.10899999993853271
RF,lac_split,33,0.9594,4.1398,0.496,0.10899999993853271
RF,lac_split,34,0.9194,3.519,0.427,0.10999999998603016
RF,lac_split,35,0.7824,2.755,0.3796,0.125
RF,lac_split,36,0.8962,3.1206,0.534,0.125
RF,lac_split,37,0.9916,4.6508,0.4698,0.125
RF,lac_split,38,0.8396,3.241,0.4094,0.125
RF,lac_split,39,0.9728,4.4144,0.5112,0.125
RF,lac_split,40,0.9894,4.722,0.5038,0.14000000001396984
RF,lac_split,41,0.992,4.477,0.5036,0.125
RF,lac_split,42,0.9558,3.7386,0.5438,0.14099999994505197
RF,lac_split,43,0.9834,4.4686,0.5258,0.15700000000651926
RF,lac_split,44,0.9536,3.763,0.5398,0.15700000000651926
RF,lac_split,45,0.9494,3.7004,0.5266,0.15600000007543713
RF,lac_split,46,0.8548,2.599,0.5548,0.18799999996554106
RF,lac_split,47,0.9606,3.7886,0.5216,0.18799999996554106
RF,lac_split,48,0.9786,4.1898,0.4922,0.1559999999590218
RF,lac_split,49,0.9254,3.4492,0.5534,0.15700000000651926
RF,lac_split,50,0.6632,1.5768,0.5094,0.1410000000614673
RF,lac_split,51,0.929,3.1198,0.586,0.125
RF,lac_split,52,0.9544,3.6308,0.4698,0.1559999999590218
RF,lac_split,53,0.9964,4.8132,0.5142,0.125
RF,lac_split,54,0.9354,3.2638,0.5418,0.125
RF,lac_split,55,0.9586,3.3162,0.595,0.1720000000204891
RF,lac_split,56,0.9466,3.645,0.5378,0.17099999997299165
RF,lac_split,57,0.929,3.0454,0.5936,0.1720000000204891
RF,lac_split,58,0.9126,2.9944,0.6096,0.14099999994505197
RF,lac_split,59,0.9686,3.9304,0.565,0.1410000000614673
RF,lac_split,60,0.891,2.5168,0.5808,0.14000000001396984
RF,lac_split,61,0.9796,4.4072,0.6018,0.14099999994505197
RF,lac_split,62,0.999,4.9564,0.604,0.14000000001396984
RF,lac_split,63,0.9214,2.9226,0.5524,0.125
RF,lac_split,64,0.985,3.931,0.6334,0.14000000001396984
RF,lac_split,65,0.9922,4.1694,0.6184,0.1559999999590218
RF,lac_split,66,0.9648,3.4778,0.6086,0.15600000007543713
RF,lac_split,67,0.998,4.8562,0.5624,0.15700000000651926
RF,lac_split,68,0.9848,4.297,0.538,0.15700000000651926
RF,lac_split,69,0.9944,4.5644,0.5876,0.1410000000614673
RF,lac_split,70,0.963,3.3642,0.6172,0.15600000007543713
RF,lac_split,71,0.8474,2.0576,0.5918,0.14000000001396984
RF,lac_split,72,0.9238,3.1158,0.5374,0.14099999994505197
RF,lac_split,73,0.96,3.3424,0.5886,0.1410000000614673
RF,lac_split,74,0.9956,4.4518,0.6298,0.1410000000614673
RF,lac_split,75,0.9954,4.6268,0.6324,0.14000000001396984
RF,lac_split,76,0.9666,3.8576,0.5636,0.14099999994505197
RF,lac_split,77,0.9882,4.2174,0.6024,0.14099999994505197
RF,lac_split,78,0.9544,3.0724,0.638,0.1559999999590218
RF,lac_split,79,0.9974,4.6658,0.6502,0.14000000001396984
RF,lac_split,80,0.8518,2.2132,0.5962,0.14099999994505197
RF,lac_split,81,0.8088,1.7952,0.5984,0.1559999999590218
RF,lac_split,82,0.8696,2.4142,0.6052,0.14000000001396984
RF,lac_split,83,0.9986,4.82,0.6146,0.14099999994505197
RF,lac_split,84,0.9544,2.953,0.615,0.14099999994505197
RF,lac_split,85,0.991,4.3396,0.6396,0.1410000000614673
RF,lac_split,86,0.9752,3.5274,0.5748,0.1410000000614673
RF,lac_split,87,0.9862,3.8034,0.5956,0.14000000001396984
RF,lac_split,88,0.9998,4.7824,0.5634,0.14000000001396984
RF,lac_split,89,0.9882,4.0986,0.6456,0.1559999999590218
RF,lac_split,90,0.9972,4.5518,0.5816,0.15600000007543713
RF,lac_split,91,0.895,2.6038,0.6202,0.14000000001396984
RF,lac_split,92,0.9176,2.8606,0.5958,0.15600000007543713
RF,lac_split,93,0.991,4.3062,0.6316,0.15600000007543713
RF,lac_split,94,0.9912,4.2476,0.6236,0.15600000007543713
RF,lac_split,95,0.9564,2.9164,0.681,0.15600000007543713
RF,lac_split,96,0.9892,4.0878,0.6442,0.1410000000614673
RF,lac_split,97,0.8624,1.9774,0.652,0.15600000007543713
RF,lac_split,98,0.859,2.0068,0.6384,0.15600000007543713
RF,lac_split,99,0.8454,1.6968,0.675,0.15600000007543713
RF,lac_split,100,0.9576,3.1852,0.6192,0.15600000007543713
RF,lac_split,101,0.8852,2.1934,0.6402,0.15600000007543713
RF,lac_split,102,0.8594,2.4082,0.5686,0.1410000000614673
RF,lac_split,103,0.8988,2.3006,0.6476,0.15700000000651926
RF,lac_split,104,0.993,4.2502,0.6366,0.15700000000651926
RF,lac_split,105,0.8794,2.0388,0.667,0.1410000000614673
RF,lac_split,106,0.942,3.8652,0.6478,0.1410000000614673
RF,lac_split,107,0.9868,3.7864,0.6494,0.15700000000651926
RF,lac_split,108,0.8942,2.3606,0.6234,0.15700000000651926
RF,lac_split,109,0.8526,2.147,0.609,0.15700000000651926
RF,lac_split,110,0.7868,1.3748,0.6764,0.14099999994505197
RF,lac_split,111,0.934,2.7602,0.6554,0.17199999990407377
RF,lac_split,112,0.7302,1.3052,0.6158,0.17099999997299165
RF,lac_split,113,0.9624,2.9828,0.6268,0.1720000000204891
RF,lac_split,114,0.9878,3.4672,0.6954,0.1720000000204891
RF,lac_split,115,0.959,3.089,0.6586,0.1559999999590218
