model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,lac_split,100,0.9538961793055394,1.2389966322146093,0.8878179073278365,0.0
GaussianNB,lac_split,200,0.9046568342817327,1.0383230751364534,0.8864243409592382,0.01600000000325963
GaussianNB,lac_split,300,0.9459993032168157,1.1471373824178377,0.8979212635001742,0.01600000000325963
GaussianNB,lac_split,400,0.956451050981303,1.1681570084775288,0.9023342236674021,0.014999999999417923
GaussianNB,lac_split,500,0.9924515155034258,1.7975844849610962,0.8983857856230403,0.01600000000325963
GaussianNB,lac_split,600,0.9751480664266635,1.3798629659737545,0.8917663453721983,0.014999999999417923
GaussianNB,lac_split,700,0.9368249912902102,1.1128788758564627,0.8932760422715131,0.03200000000651926
GaussianNB,lac_split,800,0.9422831262338869,1.13436302403902,0.892579259087214,0.031000000002677552
GaussianNB,lac_split,900,0.9658576239693415,1.2578097781906863,0.8938566949250958,0.01600000000325963
GaussianNB,lac_split,1000,0.9601672279642318,1.2075252583904308,0.8952502612936941,0.01600000000325963
GaussianNB,lac_split,1100,0.9271861572407386,1.0765300197421903,0.8960631750087098,0.01600000000325963
GaussianNB,lac_split,1200,0.9662060155614911,1.2412031122982232,0.8972244803158751,0.01600000000325963
GaussianNB,lac_split,1300,0.9557542677970038,1.1752409708512368,0.8968760887237255,0.03200000000651926
GaussianNB,lac_split,1400,0.9281152014864708,1.0859365927302287,0.8929276506793636,0.014999999999417923
GaussianNB,lac_split,1500,0.9628382301707119,1.210660782719777,0.8989664382766229,0.014999999999417923
GaussianNB,lac_split,1600,0.9508767855069098,1.1554987806294275,0.8972244803158751,0.031000000002677552
GaussianNB,lac_split,1700,0.9504122633840436,1.1502729067471837,0.8974567413773081,0.015999999988707714
GaussianNB,lac_split,1800,0.9509929160376263,1.1550342585065614,0.8968760887237255,0.031000000002677552
GaussianNB,lac_split,1900,0.9522703518755081,1.1701312274997098,0.8952502612936941,0.014999999999417923
GaussianNB,lac_split,2000,0.9571478341656021,1.1964928579723608,0.8940889559865288,0.01600000000325963
