model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,aps_score_cv+_crossval,100,0.6818023458367205,1.2320288003716178,0.8875856462664035,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,200,0.6612472418998955,1.1057949134827547,0.8887469515735686,0.030999999988125637
GaussianNB,aps_score_cv+_crossval,300,0.6996864475670653,1.1205434908837533,0.8922308674950644,0.015000000013969839
GaussianNB,aps_score_cv+_crossval,400,0.6592730228777145,1.0867495064452444,0.894553478109395,0.0
GaussianNB,aps_score_cv+_crossval,500,0.666240854720706,1.077342933457206,0.8953663918244107,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,600,0.6794797352223899,1.084659156892347,0.8935083033329463,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,700,0.6683312042736035,1.0717686679828127,0.8942050865172454,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,800,0.6596214144698641,1.0659621414469864,0.894785739170828,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,900,0.6518406689118569,1.0717686679828127,0.8955986528858437,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,1000,0.6460341423760306,1.0621298339333411,0.8962954360701428,0.014999999984866008
GaussianNB,aps_score_cv+_crossval,1100,0.6438276622924167,1.0507490419231216,0.8957147834165602,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,1200,0.6484728835210777,1.0688654047148995,0.894785739170828,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,1300,0.6445244454767158,1.0544652189060504,0.8946696086401115,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,1400,0.6511438857275578,1.0585297874811288,0.8936244338636627,0.015000000013969839
GaussianNB,aps_score_cv+_crossval,1500,0.6494019277668099,1.0593427011961445,0.8946696086401115,0.03200000000651926
GaussianNB,aps_score_cv+_crossval,1600,0.6480083613982116,1.0651492277319707,0.8958309139472768,0.015000000013969839
GaussianNB,aps_score_cv+_crossval,1700,0.6490535361746603,1.0584136569504123,0.8954825223551272,0.015000000013969839
GaussianNB,aps_score_cv+_crossval,1800,0.6470793171524793,1.0577168737661131,0.8962954360701428,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,1900,0.6490535361746603,1.062362094994774,0.8962954360701428,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,2000,0.6444083149459993,1.0507490419231216,0.8954825223551272,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,2100,0.6514922773197074,1.051329694576704,0.8965276971315759,0.014999999984866008
GaussianNB,aps_score_cv+_crossval,2200,0.6576471954476832,1.0631750087097898,0.8965276971315759,0.03200000000651926
GaussianNB,aps_score_cv+_crossval,2300,0.6572988038555336,1.0625943560562072,0.8971083497851585,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,2400,0.6546278016490535,1.061897572871908,0.8974567413773081,0.03200000000651926
GaussianNB,aps_score_cv+_crossval,2500,0.6571826733248171,1.0631750087097898,0.896992219254442,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,2600,0.6592730228777145,1.0624782255254908,0.8973406108465916,0.030999999988125637
GaussianNB,aps_score_cv+_crossval,2700,0.6546278016490535,1.0624782255254908,0.8976890024387412,0.03200000000651926
GaussianNB,aps_score_cv+_crossval,2800,0.6566020206712345,1.063871791894089,0.8971083497851585,0.014999999984866008
GaussianNB,aps_score_cv+_crossval,2900,0.6570665427941006,1.0578330042968296,0.8975728719080246,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,3000,0.6562536290790849,1.0569039600510974,0.8976890024387412,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,3100,0.6507954941354082,1.055045871559633,0.8978051329694576,0.015000000013969839
GaussianNB,aps_score_cv+_crossval,3200,0.6533503658111718,1.0606201370340262,0.8972244803158751,0.015000000013969839
GaussianNB,aps_score_cv+_crossval,3300,0.6550923237719196,1.0607362675647427,0.8974567413773081,0.030999999988125637
GaussianNB,aps_score_cv+_crossval,3400,0.649634188828243,1.0506329113924051,0.8972244803158751,0.0159999999741558
GaussianNB,aps_score_cv+_crossval,3500,0.654511671118337,1.0549297410289165,0.8968760887237255,0.014999999984866008
GaussianNB,aps_score_cv+_crossval,3600,0.6503309720125421,1.0534200441296018,0.8964115666008594,0.030999999988125637
GaussianNB,aps_score_cv+_crossval,3700,0.6524213215654395,1.059226570665428,0.8962954360701428,0.030999999988125637
GaussianNB,aps_score_cv+_crossval,3800,0.6516084078504238,1.0578330042968296,0.8968760887237255,0.031000000017229468
GaussianNB,aps_score_cv+_crossval,3900,0.6439437928231332,1.0498199976773894,0.8967599581930089,0.014999999984866008
GaussianNB,aps_score_cv+_crossval,4000,0.645453489722448,1.0507490419231216,0.8965276971315759,0.030999999988125637
GaussianNB,aps_score_cv+_crossval,4100,0.6471954476831959,1.0516780861688537,0.8966438276622924,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,4200,0.6451050981302985,1.0454070375101614,0.8967599581930089,0.030999999988125637
GaussianNB,aps_score_cv+_crossval,4300,0.6461502729067472,1.049703867146673,0.8962954360701428,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,4400,0.6485890140517943,1.052607130414586,0.8964115666008594,0.01600000000325963
GaussianNB,aps_score_cv+_crossval,4500,0.6516084078504238,1.0541168273139008,0.8961793055394263,0.031000000017229468
GaussianNB,aps_score_cv+_crossval,4600,0.6488212751132273,1.0524909998838694,0.8962954360701428,0.0159999999741558
GaussianNB,aps_score_cv+_crossval,4700,0.647892230867495,1.050168389269539,0.8961793055394263,0.0159999999741558
GaussianNB,aps_score_cv+_crossval,4800,0.6470793171524793,1.0495877366159563,0.8964115666008594,0.046999999991385266
GaussianNB,aps_score_cv+_crossval,4900,0.6468470560910463,1.0505167808616886,0.8961793055394263,0.030999999988125637
SVM,aps_score_cv+_crossval,100,0.9817675066775056,2.0285681105562654,0.8787597259319475,0.046999999991385266
SVM,aps_score_cv+_crossval,200,0.9721286726280339,1.7053768435721752,0.9023342236674021,0.046999999991385266
SVM,aps_score_cv+_crossval,300,0.9665544071536407,1.6183950760654977,0.9096504471025433,0.046999999991385266
SVM,aps_score_cv+_crossval,400,0.9619091859249796,1.5264196957380096,0.9112762745325746,0.07800000000861473
SVM,aps_score_cv+_crossval,500,0.9577284868191848,1.5617233770758332,0.9140634072697712,0.09399999998277053
SVM,aps_score_cv+_crossval,600,0.9608640111485309,1.4425734525606781,0.9173150621298339,0.125
SVM,aps_score_cv+_crossval,700,0.9593543142492161,1.436534664963419,0.918011845314133,0.14100000000325963
SVM,aps_score_cv+_crossval,800,0.9571478341656021,1.398095459296249,0.9213796307049124,0.15600000001722947
SVM,aps_score_cv+_crossval,900,0.9541284403669725,1.3623272558355592,0.9178957147834166,0.23399999999674037
SVM,aps_score_cv+_crossval,1000,0.9581930089420508,1.36163047265126,0.9176634537219835,0.20300000000861473
SVM,aps_score_cv+_crossval,1100,0.9505283939147602,1.3451399372895134,0.9185924979677157,0.25
SVM,aps_score_cv+_crossval,1200,0.9556381372662873,1.336662408547207,0.9224248054813611,0.29699999999138527
SVM,aps_score_cv+_crossval,1300,0.9558703983277204,1.338404366507955,0.9187086284984323,0.32800000000861473
SVM,aps_score_cv+_crossval,1400,0.9526187434676576,1.3289977935199164,0.9202183253977471,0.35899999999674037
SVM,aps_score_cv+_crossval,1500,0.9536639182441063,1.3507142027639065,0.9226570665427941,0.375
SVM,aps_score_cv+_crossval,1600,0.9543607014284056,1.3357333643014748,0.922192544419928,0.4220000000204891
SVM,aps_score_cv+_crossval,1700,0.954244570897689,1.3042619904772965,0.921960283358495,0.46899999998277053
SVM,aps_score_cv+_crossval,1800,0.9565671815120195,1.3194750900011614,0.9227731970735106,0.5160000000032596
SVM,aps_score_cv+_crossval,1900,0.9502961328533271,1.277668098943212,0.9226570665427941,0.5629999999946449
SVM,aps_score_cv+_crossval,2000,0.9521542213447916,1.281848798049007,0.9223086749506445,0.6089999999967404
SVM,aps_score_cv+_crossval,2100,0.9513413076297759,1.2914876320984787,0.9217280222970619,0.6719999999913853
SVM,aps_score_cv+_crossval,2200,0.9556381372662873,1.3175008709789804,0.924631285564975,0.7029999999795109
SVM,aps_score_cv+_crossval,2300,0.9545929624898386,1.2971780281035885,0.9257925908721403,0.75
SVM,aps_score_cv+_crossval,2400,0.9556381372662873,1.2751132272674486,0.9250958076878412,0.8129999999946449
SVM,aps_score_cv+_crossval,2500,0.9556381372662873,1.2841714086633376,0.9250958076878412,0.8589999999967404
SVM,aps_score_cv+_crossval,2600,0.9557542677970038,1.285797236093369,0.9253280687492742,0.9220000000204891
SVM,aps_score_cv+_crossval,2700,0.9557542677970038,1.290210196260597,0.9253280687492742,0.9220000000204891
SVM,aps_score_cv+_crossval,2800,0.9550574846127047,1.2803391011496923,0.9257925908721403,1.0309999999881256
SVM,aps_score_cv+_crossval,2900,0.9550574846127047,1.270584136569504,0.9252119382185576,1.0460000000020955
SVM,aps_score_cv+_crossval,3000,0.9554058762048543,1.267448612240158,0.9250958076878412,1.125
SVM,aps_score_cv+_crossval,3100,0.9561026593891534,1.2662873069329927,0.9249796771571246,1.2969999999913853
SVM,aps_score_cv+_crossval,3200,0.9567994425734525,1.2719777029381025,0.9257925908721403,1.4530000000086147
SVM,aps_score_cv+_crossval,3300,0.9555220067355708,1.2671002206480084,0.9262571129950063,1.7189999999827705
SVM,aps_score_cv+_crossval,3400,0.956683312042736,1.254441992799907,0.9271861572407386,1.6410000000032596
SVM,aps_score_cv+_crossval,3500,0.9552897456741377,1.2597839972128673,0.9260248519335733,1.9689999999827705
SVM,aps_score_cv+_crossval,3600,0.9550574846127047,1.2547903843920567,0.9263732435257229,2.0
SVM,aps_score_cv+_crossval,3700,0.9550574846127047,1.2563000812913716,0.9269538961793056,2.0929999999934807
SVM,aps_score_cv+_crossval,3800,0.9565671815120195,1.2655905237486935,0.9281152014864708,1.8909999999741558
SVM,aps_score_cv+_crossval,3900,0.9569155731041691,1.2636163047265125,0.9279990709557543,1.937000000005355
SVM,aps_score_cv+_crossval,4000,0.9569155731041691,1.2599001277435837,0.9277668098943213,2.23499999998603
SVM,aps_score_cv+_crossval,4100,0.9559865288584369,1.2533968180234583,0.927070026710022,2.422000000020489
SVM,aps_score_cv+_crossval,4200,0.9537800487748229,1.2499129021019626,0.9271861572407386,2.4530000000086147
SVM,aps_score_cv+_crossval,4300,0.9543607014284056,1.2496806410405294,0.9274184183021716,2.7030000000086147
SVM,aps_score_cv+_crossval,4400,0.954244570897689,1.249099988386947,0.9277668098943213,2.3910000000032596
SVM,aps_score_cv+_crossval,4500,0.956451050981303,1.2565323423528045,0.9267216351178725,2.6719999999913853
SVM,aps_score_cv+_crossval,4600,0.9536639182441063,1.2472418998954826,0.9273022877714551,2.7969999999913853
SVM,aps_score_cv+_crossval,4700,0.954476831959122,1.2443386366275695,0.926837765648589,3.1559999999881256
SVM,aps_score_cv+_crossval,4800,0.9538961793055394,1.2457322029961677,0.9274184183021716,3.01500000001397
SVM,aps_score_cv+_crossval,4900,0.9519219602833585,1.233422366740216,0.9271861572407386,3.562000000005355
