model,strategy,training_size,coverage,set_size,acc,duration
GaussianNB,score_prefit,100,0.9871095110904656,1.6759958193008941,0.8857275577749391,0.0
GaussianNB,score_prefit,200,0.9620253164556962,1.258158169782836,0.8955986528858437,0.0
GaussianNB,score_prefit,300,0.9735222389966323,1.2839391476019046,0.9000116130530716,0.014999999999417923
GaussianNB,score_prefit,400,0.9642317965393102,1.2898618046684474,0.8842178608756242,0.014999999999417923
GaussianNB,score_prefit,500,0.9682963651143885,1.2677970038323074,0.9001277435837882,0.0
GaussianNB,score_prefit,600,0.9609801416792475,1.2247125769364766,0.8931599117407967,0.0
GaussianNB,score_prefit,700,0.9563349204505864,1.191615375682267,0.8954825223551272,0.0
GaussianNB,score_prefit,800,0.9491348275461619,1.1643247009638833,0.8904889095343166,0.0
GaussianNB,score_prefit,900,0.9345023806758797,1.1006851701312275,0.8954825223551272,0.01600000000325963
GaussianNB,score_prefit,1000,0.9216118917663454,1.072465451167112,0.8914179537800487,0.014999999999417923
GaussianNB,score_prefit,1100,0.9595865753106492,1.1989315991174079,0.8981535245616072,0.0
GaussianNB,score_prefit,1200,0.9626059691092789,1.214841481825572,0.8942050865172454,0.014999999999417923
GaussianNB,score_prefit,1300,0.9465799558703983,1.1420276390663104,0.8972244803158751,0.0
GaussianNB,score_prefit,1400,0.9321797700615492,1.0867495064452444,0.8982696550923238,0.01600000000325963
GaussianNB,score_prefit,1500,0.9501800023226106,1.1503890372779004,0.8957147834165602,0.014999999999417923
GaussianNB,score_prefit,1600,0.961096272209964,1.2096156079433282,0.8954825223551272,0.0
GaussianNB,score_prefit,1700,0.9491348275461619,1.150505167808617,0.8990825688073395,0.0
GaussianNB,score_prefit,1800,0.9615607943328301,1.2162350481941702,0.8961793055394263,0.014999999999417923
GaussianNB,score_prefit,1900,0.9425153872953199,1.1201950992916037,0.8985019161537569,0.015999999988707714
GaussianNB,score_prefit,2000,0.9487864359540124,1.1477180350714202,0.8987341772151899,0.0
GaussianNB,score_prefit,2100,0.9386830797816746,1.1086981767506678,0.8971083497851585,0.01600000000325963
GaussianNB,score_prefit,2200,0.9577284868191848,1.1855765880850075,0.8972244803158751,0.0
GaussianNB,score_prefit,2300,0.9577284868191848,1.183253977470677,0.8989664382766229,0.0
GaussianNB,score_prefit,2400,0.9565671815120195,1.1752409708512368,0.8973406108465916,0.0
GaussianNB,score_prefit,2500,0.9485541748925792,1.1466728602949716,0.8967599581930089,0.014999999999417923
GaussianNB,score_prefit,2600,0.9509929160376263,1.1501567762164673,0.8988503077459064,0.01600000000325963
GaussianNB,score_prefit,2700,0.9440250841946348,1.1351759377540356,0.8954825223551272,0.01600000000325963
GaussianNB,score_prefit,2800,0.9530832655905237,1.1660666589246313,0.8980373940308907,0.01600000000325963
GaussianNB,score_prefit,2900,0.9465799558703983,1.1386598536755312,0.8976890024387412,0.014999999999417923
GaussianNB,score_prefit,3000,0.9574962257577517,1.1863895018000232,0.8968760887237255,0.01600000000325963
GaussianNB,score_prefit,3100,0.9533155266519568,1.1681570084775288,0.8966438276622924,0.01600000000325963
GaussianNB,score_prefit,3200,0.949599349669028,1.1499245151550344,0.8957147834165602,0.0
GaussianNB,score_prefit,3300,0.9390314713738241,1.1146208338172106,0.8955986528858437,0.0
GaussianNB,score_prefit,3400,0.9500638717918941,1.1543374753222622,0.8968760887237255,0.0
GaussianNB,score_prefit,3500,0.9581930089420508,1.1812797584484962,0.8978051329694576,0.0
GaussianNB,score_prefit,3600,0.9521542213447916,1.1613053071652537,0.8986180466844733,0.014999999999417923
GaussianNB,score_prefit,3700,0.9456509116246661,1.1373824178376495,0.8976890024387412,0.0
GaussianNB,score_prefit,3800,0.954012309836256,1.1661827894553478,0.8966438276622924,0.014999999999417923
GaussianNB,score_prefit,3900,0.9561026593891534,1.1826733248170944,0.8961793055394263,0.01600000000325963
